time,temp
0:00,48
1:00,307
1:20,315
2:00,327
2:30,330
3:00,337
3:30,344
4:00,357
4:30,362
5:00,367
5:30,375
6:00,388
6:30,400
7:00,402
7:30,426
8:00,436
8:30,442
9:00,446
9:30,447
10:00,447
10:30,449
11:00,448
